Player,Team,Season,Age,Squad,Comp,Country,MP,Starts,Starts_pct,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xAG,npxG,xG+xAG,npxG+xAG,PrgP,PrgC,PrgR,Gls/90,Ast/90,G+A/90,xG/90,xAG/90,xG+xAG/90,xG_diff,xA_diff,Trend,NewLeague,SourceFile,Career_MP,Career_Starts,Career_Min,Career_90s,Career_Gls,Career_Ast,Career_G+A,Career_xG,Career_xAG,Career_xG+xAG,Career_npxG,Career_npxG+xAG,Career_Gls/90,Career_Ast/90,Career_G+A/90,Career_xG/90,Career_xAG/90,Career_xG+xAG/90
Dušan Vlahović,Juventus,2025-2026,25,Juventus,1. Serie A,it ITA,1.0,0.0,0.0,11.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,,0.5,1.0,0.0,1.0,8.18,0.0,8.18,4.28,0.0,4.28,0.5,0.0,↗,No,serie_a_standard_stats\Juventus\Dušan_Vlahović_FW.csv,224.0,152.0,13967.0,155.2,89.0,17.0,106.0,84.2,12.1,,65.2,77.3,0.57,0.11,0.68,0.56,0.08,0.64
Gianluca Gaetano,Cagliari,2025-2026,25,Cagliari,1. Serie A,it ITA,1.0,0.0,0.0,17.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,,0.3,3.0,2.0,1.0,0.0,5.29,5.29,0.84,0.97,1.81,-0.2,0.8,↗,No,serie_a_standard_stats\Cagliari\Gianluca_Gaetano_FW.csv,145.0,79.0,7071.0,78.6,23.0,16.0,39.0,21.6,14.2,,20.8,35.0,0.29,0.2,0.5,0.28,0.18,0.46
Ange-Yoan Bonny,Inter,2025-2026,21,Inter,1. Serie A,it ITA,1.0,0.0,0.0,24.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,,0.3,2.0,1.0,3.0,3.75,0.0,3.75,0.33,0.81,1.14,0.9,-0.2,↗,No,serie_a_standard_stats\Inter\Ange-Yoan_Bonny_FW.csv,115.0,63.0,5623.0,62.5,14.0,12.0,26.0,16.3,8.9,,13.1,22.0,0.22,0.19,0.42,0.27,0.15,0.41
Marcus Thuram,Inter,2025-2026,27,Inter,1. Serie A,it ITA,1.0,1.0,1.0,66.0,0.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6,0.1,0.6,,0.7,1.0,3.0,5.0,2.73,0.0,2.73,0.84,0.11,0.95,1.4,-0.1,↗,No,serie_a_standard_stats\Inter\Marcus_Thuram_FW.csv,280.0,213.0,18479.0,205.3,76.0,32.0,108.0,80.0,29.7,,76.0,105.7,0.37,0.16,0.53,0.43,0.16,0.58
Lautaro Martínez,Inter,2025-2026,27,Inter,1. Serie A,it ITA,1.0,1.0,1.0,78.0,0.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.1,0.3,,0.4,3.0,1.0,5.0,1.15,1.15,2.31,0.32,0.1,0.43,0.7,0.9,↗,No,serie_a_standard_stats\Inter\Lautaro_Martínez_FW.csv,286.0,226.0,19603.0,217.8,138.0,31.0,169.0,119.2,31.6,,105.5,137.1,0.63,0.14,0.78,0.55,0.15,0.69
Alessandro Bastoni,Inter,2025-2026,26,Inter,1. Serie A,it ITA,1.0,1.0,1.0,85.0,0.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,,0.3,3.0,0.0,1.0,1.06,1.06,2.12,0.1,0.22,0.32,0.9,0.8,↗,No,serie_a_standard_stats\Inter\Alessandro_Bastoni_DF.csv,211.0,188.0,16001.0,177.8,7.0,16.0,23.0,6.4,13.2,,6.4,19.6,0.04,0.09,0.13,0.04,0.08,0.11
Kenan Yıldız,Juventus,2025-2026,20,Juventus,1. Serie A,it ITA,1.0,1.0,1.0,88.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.1,,0.9,2.0,5.0,11.0,0.0,2.05,2.05,0.15,0.81,0.96,-0.1,1.2,↗,No,serie_a_standard_stats\Juventus\Kenan_Yıldız_FW.csv,63.0,38.0,3442.0,38.2,9.0,6.0,15.0,6.1,6.9,,6.1,13.0,0.24,0.16,0.39,0.16,0.18,0.34
Rolando Mandragora,Fiorentina,2025-2026,28,Fiorentina,1. Serie A,it ITA,1.0,0.0,0.0,45.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,,0.3,2.0,0.0,4.0,2.0,0.0,2.0,0.45,0.08,0.53,0.8,0.0,↗,No,serie_a_standard_stats\Fiorentina\Rolando_Mandragora_MF.csv,269.0,214.0,18905.0,210.1,18.0,19.0,37.0,20.2,22.3,,19.4,41.7,0.09,0.09,0.18,0.11,0.12,0.23
Pervis Estupiñán,Milan,2025-2026,27,Milan,1. Serie A,it ITA,1.0,1.0,1.0,45.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.2,1.0,1.0,6.0,0.0,2.0,2.0,0.03,0.42,0.46,0.0,0.8,↗,Yes,serie_a_standard_stats\Milan\Pervis_Estupiñán_DF.csv,259.0,208.0,18509.0,205.7,8.0,20.0,28.0,6.7,18.8,,6.7,25.5,0.04,0.1,0.14,0.05,0.14,0.19
Sandi Lovrić,Udinese,2025-2026,27,Udinese,1. Serie A,it ITA,1.0,1.0,1.0,60.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,,0.3,7.0,3.0,3.0,0.0,1.5,1.5,0.16,0.33,0.49,-0.1,0.8,↗,No,serie_a_standard_stats\Udinese\Sandi_Lovrić_MF.csv,260.0,202.0,17052.0,189.5,18.0,36.0,54.0,11.1,10.0,,11.1,21.1,0.1,0.19,0.29,0.15,0.14,0.28
